序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
68,Large Language Models are not Fair Evaluators,2024,Peiyi Wang；Lei Li；Liang Chen；Zefan Cai；Dawei Zhu；Binghuai Lin；Yunbo Cao；Lingpeng Kong；Qi Liu；Tianyu Liu；Zhifang Sui,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.511/
https://arxiv.org/abs/2305.17926",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序68：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Large Language Models are not Fair Evaluators.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.511/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 9440–9450”。
原文摘要依据：“In this paper, we uncover a positional bias in the evaluation paradigm of adopting large language models (LLMs), e.g., GPT-4, as a referee to score and compare the quality of responses generated by ca”。"
69,Self-Infilling Code Generation,2024,Lin Zheng；Jianbo Yuan；Zhi Zhang；Hongxia Yang；Lingpeng Kong,ICML 2024,会议,https://arxiv.org/abs/2311.17972,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序69：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Self-Infilling Code Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2311.17972；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine          terruption point to infill the bypassed context (Figure 1c).”。
原文摘要依据：“This work introduces self-infilling code generation, a general framework that incorporates infilling operations into auto-regressive decoding. Our approach capitalizes on the observation that recent i”。"
70,Training- Free Long-Context Scaling of Large Language Models,2024,Chenxin An；Fei Huang；Jun Zhang；Shansan Gong；Xipeng Qiu；Chang Zhou；Lingpeng Kong,ICML 2024,会议,https://arxiv.org/abs/2402.17463,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序70：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Training- Free Long-Context Scaling of Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.17463；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 41 st International Conference on Machine            tion indices or increasing the base frequency in RoPE (Su”。
原文摘要依据：“The ability of Large Language Models (LLMs) to process and generate coherent text is markedly weakened when the number of input tokens exceeds their pretraining length. Given the expensive overhead of”。"
71,Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,Xueliang Zhao；Wenda Li；Lingpeng Kong,ICML 2024,会议,https://arxiv.org/abs/2305.16366,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序71：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2305.16366；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Large language models~(LLMs) present an intriguing avenue of exploration in the domain of formal theorem proving. Nonetheless, the full utilization of these models, particularly in terms of demonstrat”。"
72,Multilingual Machine Translation with Large Language Models: Empirical Results and Analysis,2024,Wenhao Zhu；Hongyi Liu；Qingxiu Dong；Jingjing Xu；Shujian Huang；Lingpeng Kong；Jiajun Chen；Lei Li,Findings of the Association for Computational Linguistics: NAACL 2024,会议,"https://aclanthology.org/2024.findings-naacl.176/
https://arxiv.org/abs/2304.04675",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序72：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-naacl.176/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have demonstrated remarkable potential in handling multilingual machine translation (MMT). In this paper, we systematically investigate the advantages and challenges of LL”。"
73,Lemur: Harmonizing Natural Language and Code for Language Agents,2024,Yiheng Xu；Hongjin Su；Chen Xing；Boyu Mi；Qian Liu；Weijia Shi；Binyuan Hui；Fan Zhou；Yitao Liu；Tianbao Xie；Zhoujun Cheng；Siheng Zhao；Lingpeng Kong；Bailin Wang；Caiming Xiong；Tao Yu,ICLR 2024,会议,https://arxiv.org/abs/2310.06830,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序73：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Lemur_ Harmonizing Natural Language and Code for Language Agents.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2310.06830；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2024”。
原文摘要依据：“We introduce Lemur and Lemur-Chat, openly accessible language models optimized for both natural language and coding capabilities to serve as the backbone of versatile language agents. The evolution fr”。"
74,Can Language Models Understand Physical Concepts?,2023,Lei Li；Jingjing Xu；Qingxiu Dong；Ce Zheng；Xu Sun；Lingpeng Kong；Qi Liu,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2023.emnlp-main.726/
https://arxiv.org/abs/2305.14057",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序74：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.726/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Language models (LMs) gradually become general-purpose interfaces in the interactive and embodied world, where the understanding of physical concepts is an essential prerequisite. However, it is uncle”。"
75,DetGPT: Detect What You Need via Reasoning,2023,Renjie Pi；Jiahui Gao；Shizhe Diao；Rui Pan；Hanze Dong；Jipeng Zhang；Lewei Yao；Jianhua Han；Hang Xu；Lingpeng Kong；Tong Zhang,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2023.emnlp-main.876/
https://arxiv.org/abs/2305.14167",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序75：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.876/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“In recent years, the field of computer vision has seen significant advancements thanks to the development of large language models (LLMs). These models have enabled more effective and sophisticated in”。"
76,Generating Data for Symbolic Language with Large Language Models,2023,Jiacheng Ye；Chengzu Li；Lingpeng Kong；Tao Yu,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2023.emnlp-main.523/
https://arxiv.org/abs/2305.13917",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序76：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Generating Data for Symbolic Language with Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.emnlp-main.523/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 8418–8443”。
原文摘要依据：“While large language models (LLMs) bring not only performance but also complexity, recent work has started to turn LLMs into data generators rather than task inferencers, where another affordable task”。"
77,DiffuSeq-v2: Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models,2023,Shansan Gong；Mukai Li；Jiangtao Feng；Zhiyong Wu；Lingpeng Kong,Findings of the Association for Computational Linguistics: EMNLP 2023,会议,"https://aclanthology.org/2023.findings-emnlp.660/
https://arxiv.org/abs/2310.05793",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
CV标题为“Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models”；arXiv标题为“DiffuSeq-v2: Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models”；相同预印本编号，保留版本信息。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序77：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq-v2_ Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-emnlp.660/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Diffusion models have gained prominence in generating high-quality sequences of text. Nevertheless, current approaches predominantly represent discrete text within a continuous diffusion space, which ”。"
78,GIM- LET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning,2023,Haiteng Zhao；Shengchao Liu；Chang Ma；Hannan Xu；Jie Fu；Zhi-Hong Deng；Lingpeng Kong；Qi Liu,NeurIPS 2023,会议,https://arxiv.org/abs/2306.13089,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序78：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2306.13089；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Molecule property prediction has gained significant attention in recent years. The main bottleneck is the label insufficiency caused by expensive lab experiments. In order to alleviate this issue and ”。"
79,Statistical Knowledge Assessment for Generative Language Models,2023,Qingxiu Dong；Jingjing Xu；Lingpeng Kong；Zhifang Sui；Lei Li,NeurIPS 2023,会议,https://arxiv.org/abs/2305.10519,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
CV标题为“Statistical Knowledge Assessment for Generative Language Models”；arXiv标题为“Statistical Knowledge Assessment for Large Language Models”；相同预印本编号，保留版本信息。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序79：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Statistical Knowledge Assessment for Generative Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.10519；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Given varying prompts regarding a factoid question, can a large language model (LLM) reliably generate factually correct answers? Existing LLMs may generate distinct responses for different prompts. I”。"
80,Attentive Multi-Layer Perceptron for Non-autoregressive Generation,2023,Shuyang Jiang；Jun Zhang；Jiangtao Feng；Lin Zheng；Lingpeng Kong,ECML/PKDD 2023,会议,https://arxiv.org/abs/2310.09512,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序80：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.09512；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Autoregressive~(AR) generation almost dominates sequence generation for its efficacy. Recently, non-autoregressive~(NAR) generation gains increasing popularity for its efficiency and growing efficacy.”。"
